ID_Valvula,Diametro_mm,Peso_g,Presion_bar,Temperatura_C,Dureza_HRC,Tiempo_ciclo_s,Error_reconstruccion,Score_z,Clasificacion
L087,25.48,139.86,34.39,850.21,45.3,12.57,1.225571761888781,9.293113544466646,ANOMALIA
L093,25.16,142.6,35.42,855.58,42.25,11.58,1.0469390154286886,7.797248073548424,ANOMALIA
L086,24.63,149.25,41.06,871.91,42.2,12.18,0.719055574113351,5.0515615851025375,ANOMALIA
L045,26.05,160.01,44.98,881.81,49.34,12.13,0.4610877717055855,2.8913466420006,normal
L094,25.44,149.24,37.8,843.66,42.23,12.07,0.43027007128355627,2.633280106788288,normal
L098,25.18,157.85,41.62,852.14,43.57,12.21,0.4094500991156776,2.458934259856097,normal
L089,25.69,150.92,41.62,877.11,45.36,12.05,0.3854188487177503,2.2576972615698945,normal
L090,24.86,154.52,38.17,837.05,43.94,11.94,0.34858346037414306,1.9492387811233904,normal
L066,24.33,141.92,35.12,830.76,42.82,11.84,0.3393473217147902,1.8718956221621894,normal
L015,25.92,153.8,43.78,864.85,47.43,12.16,0.3341879995256403,1.8286916068344863,normal
L097,25.1,148.71,41.83,837.42,46.26,12.38,0.3169004479492899,1.6839261481364767,normal
L003,25.1,150.36,41.11,838.77,46.65,11.6,0.3124732945698594,1.6468532933213127,normal
L026,25.79,152.29,41.62,864.38,45.61,12.23,0.2943989831327119,1.495499530222275,normal
L037,25.11,148.67,39.1,849.66,44.7,12.62,0.27469614410298654,1.3305085239948111,normal
L056,23.78,143.13,37.63,828.87,40.75,12.71,0.24588070708746657,1.0892088848462584,normal
L038,26.49,164.91,48.33,899.09,51.05,10.84,0.24557957796048427,1.0866872382150163,normal
L095,25.48,151.54,43.69,846.22,44.56,11.64,0.24408507948302674,1.0741723510340817,normal
L022,25.68,157.45,44.65,876.73,47.12,12.08,0.2432727842196595,1.0673702139078245,normal
L050,24.31,141.87,37.81,828.38,42.63,12.83,0.24262207153234785,1.0619211646168796,normal
L063,25.05,150.61,40.19,856.34,45.24,12.49,0.22147675464312785,0.884850890364143,normal
L046,24.94,153.67,42.59,860.38,46.89,12.29,0.22021665168442292,0.8742988245023011,normal
L053,25.31,151.49,40.6,849.95,45.29,11.41,0.1992620011945064,0.6988251851826006,normal
L032,25.94,160.48,44.76,879.25,48.77,10.98,0.18397220459366959,0.5707888690771197,normal
L054,24.53,146.0,38.14,842.68,43.29,11.8,0.17256232844845365,0.4752428950532861,normal
L039,24.51,146.59,38.39,842.7,43.52,11.78,0.17184893094831408,0.4692689249462062,normal
L088,25.66,154.8,41.61,864.34,48.43,11.86,0.15851617066444398,0.3576207745600353,normal
L067,24.33,146.65,38.89,843.96,41.81,12.24,0.1556796022481326,0.333867432387662,normal
L062,24.82,146.37,38.79,842.16,43.56,12.57,0.15394561929887374,0.3193471091414606,normal
L006,25.87,156.07,43.65,861.59,46.67,11.98,0.15348862985023579,0.3155202926683444,normal
L096,24.33,145.64,40.18,834.66,44.54,12.15,0.15287262183268954,0.31036185928187643,normal
L034,23.76,138.32,34.17,816.67,40.11,12.38,0.14336253222705436,0.23072464299137896,normal
L018,25.4,154.39,43.52,865.09,48.45,11.38,0.1409308405924267,0.21036172732085906,normal
L040,26.13,160.74,45.64,876.56,48.84,11.02,0.1369643613643328,0.17714654457302187,normal
L019,24.99,153.19,40.02,855.5,46.38,11.64,0.13694022379785528,0.17694441728694912,normal
L004,24.43,148.76,36.26,840.62,44.25,12.22,0.13611769297108486,0.17005656784772794,normal
L047,24.16,141.07,35.44,830.88,41.69,12.85,0.13344612427117356,0.14768492854543452,normal
L001,25.45,153.04,43.3,862.53,48.27,11.81,0.1251490133355063,0.07820516068094936,normal
L014,24.63,147.74,39.25,841.58,44.38,12.51,0.12107422755412893,0.0440830219771554,normal
L057,25.34,154.04,41.23,857.29,46.86,11.45,0.11259439120424701,-0.026926883240079923,normal
L060,26.03,159.33,47.01,875.18,49.14,11.21,0.10680174576603445,-0.07543432920396959,normal
L052,25.96,158.17,46.04,879.1,47.85,11.62,0.10677775402975274,-0.07563523531218527,normal
L020,24.11,142.57,35.44,830.75,43.72,12.56,0.10568875450209904,-0.08475448597335876,normal
L025,26.76,164.3,48.58,891.62,52.07,11.33,0.10524543698486351,-0.08846681408691646,normal
L016,26.1,158.02,45.72,878.62,47.83,11.13,0.10464177641991901,-0.09352185026113326,normal
L030,24.56,147.8,38.17,830.55,43.8,12.04,0.0937546837268479,-0.18469005072257252,normal
L017,25.27,150.22,41.79,856.78,45.52,12.19,0.0929770030882352,-0.1912023259786789,normal
L024,25.0,147.3,38.9,851.52,44.54,12.33,0.09074512807368364,-0.2098919830311088,normal
L002,24.44,143.58,36.44,833.82,42.16,12.66,0.08977081826500877,-0.2180508252907461,normal
L011,25.21,150.59,39.84,856.1,45.83,11.64,0.08867881130857967,-0.22719526007381494,normal
L005,25.54,149.92,40.69,854.12,46.22,12.03,0.08862502125640864,-0.22764569642054328,normal
L029,24.67,148.11,37.37,839.85,43.34,11.97,0.08733932040730726,-0.23841211827887074,normal
L051,24.0,143.91,36.63,826.63,41.67,12.27,0.07813888682868865,-0.3154562839229723,normal
L070,25.12,152.0,42.22,857.56,46.31,12.14,0.07362558734206998,-0.35325052375712335,normal
L064,24.61,143.46,36.56,832.08,43.09,12.5,0.07328789486194924,-0.3560783508538432,normal
L043,23.19,136.52,31.04,799.55,38.86,13.01,0.06659848722333263,-0.4120952576405208,normal
L042,26.18,160.7,46.53,881.03,49.34,11.53,0.06497534433646351,-0.42568740939852145,normal
L065,25.28,153.13,40.52,854.95,46.0,12.13,0.06294586791745033,-0.44268218644474916,normal
L027,24.86,150.22,41.04,841.51,44.36,12.06,0.06073551620693826,-0.461191607969423,normal
L048,24.1,141.52,34.92,816.38,41.47,12.6,0.05955665501628674,-0.47106335760685636,normal
L058,25.3,149.37,40.38,854.43,45.66,12.13,0.057277780153887674,-0.4901465900306934,normal
L055,24.59,144.37,36.06,832.37,43.32,12.24,0.05712304590879066,-0.49144233013991756,normal
L069,25.23,150.49,41.24,851.88,46.32,12.02,0.0567264809096176,-0.4947631540145604,normal
L059,24.57,147.82,38.7,836.58,43.78,12.4,0.05162344516526002,-0.5374958282756671,normal
L041,25.01,147.85,41.27,852.26,44.92,11.97,0.05101390268222086,-0.5426001194625001,normal
L028,24.16,144.7,36.09,835.25,41.59,12.41,0.0500905177060052,-0.5503325186427044,normal
L036,25.24,152.07,40.88,851.53,46.45,11.82,0.046393490794140894,-0.5812913154596628,normal
L013,25.28,152.24,40.7,853.11,45.31,12.14,0.046292309482475306,-0.5821386048476507,normal
L061,24.33,147.52,38.01,834.88,43.76,12.26,0.04470911686134637,-0.5953962142316523,normal
L031,24.06,142.42,36.16,832.6,42.41,12.29,0.04008555246661433,-0.6341138092286687,normal
L044,25.18,151.43,39.83,852.24,45.64,12.04,0.03612533263617942,-0.6672765759608964,normal
L012,25.56,156.19,42.2,861.19,46.75,11.9,0.03537916557632221,-0.6735249574166801,normal
L008,25.01,150.19,39.79,847.68,45.03,11.88,0.034744512830036246,-0.6788395212243002,normal
L049,24.32,145.55,38.28,839.88,43.41,12.36,0.03465213187149383,-0.6796131167088482,normal
L007,24.4,145.5,36.96,832.64,41.98,12.33,0.0334681876003225,-0.6895274319160674,normal
L021,25.28,152.87,42.42,858.7,46.84,11.68,0.033191257663088496,-0.691846435229743,normal
L009,25.16,154.11,41.93,856.68,46.56,11.75,0.03155628785895307,-0.7055376252520968,normal
L033,25.52,153.3,41.65,857.29,46.63,11.66,0.028257778039805437,-0.7331592514193348,normal
L068,25.97,158.38,43.69,871.03,48.32,11.34,0.027911842534749515,-0.7360561053693099,normal
L023,25.86,156.56,43.22,866.85,47.15,11.51,0.018072284853838157,-0.8184522778273744,normal
L010,24.73,147.15,37.87,841.23,43.69,12.19,0.012451128969284077,-0.86552367521101,normal
L035,25.05,151.05,39.99,850.22,45.01,11.97,0.010141847797892229,-0.8848615291900864,normal
