ID_Valvula,Diametro_mm,Peso_g,Presion_bar,Temperatura_C,Dureza_HRC,Tiempo_ciclo_s,Error_AE,Anomalia_AE,Anomalia_Excel,n_sensores_fuera_Excel,fuera_Diametro_mm,fuera_Peso_g,fuera_Presion_bar,fuera_Temperatura_C,fuera_Dureza_HRC,fuera_Tiempo_ciclo_s,contrib_Diametro_mm_pct,contrib_Peso_g_pct,contrib_Presion_bar_pct,contrib_Temperatura_C_pct,contrib_Dureza_HRC_pct,contrib_Tiempo_ciclo_s_pct
L039,24.51,146.59,38.39,842.7,43.52,11.78,0.17184893094831408,NO,NO,0,NO,NO,NO,NO,NO,NO,8.401578433287433,1.6834833016854216,1.3840686242728366,0.5877039512736012,3.328366600861299,84.61479908861942
L088,25.66,154.8,41.61,864.34,48.43,11.86,0.15851617066444398,NO,NO,0,NO,NO,NO,NO,NO,NO,5.052791327907611,0.04995406252129699,11.990545831353332,0.036153538929994324,65.25756846484101,17.612986774446757
L067,24.33,146.65,38.89,843.96,41.81,12.24,0.1556796022481326,NO,NO,0,NO,NO,NO,NO,NO,NO,7.325921091370673,2.091015409650118,15.36813729440931,19.598076713588895,55.30826985231902,0.3085796386619861
L062,24.82,146.37,38.79,842.16,43.56,12.57,0.15394561929887374,NO,NO,0,NO,NO,NO,NO,NO,NO,10.547028593059853,1.3864759493174728,0.9312622750133687,1.3272748502258918,0.69734598567784,85.11061234670557
L006,25.87,156.07,43.65,861.59,46.67,11.98,0.15348862985023579,NO,NO,0,NO,NO,NO,NO,NO,NO,37.27246417056242,2.9967533307340255,12.142358225608353,3.5696591658666343,1.826138242592275,42.19262686463628
L096,24.33,145.64,40.18,834.66,44.54,12.15,0.15287262183268954,NO,NO,0,NO,NO,NO,NO,NO,NO,21.183344411689195,5.682572233467355,37.6006145082745,13.084588869001681,20.727874950775252,1.7210050267920323
L034,23.76,138.32,34.17,816.67,40.11,12.38,0.14336253222705436,NO,NO,0,NO,NO,NO,NO,NO,NO,0.1494407111851459,12.481390370072438,7.621364055375617,5.638456133941482,20.82080130221271,53.28854742721261
L018,25.4,154.39,43.52,865.09,48.45,11.38,0.1409308405924267,NO,NO,0,NO,NO,NO,NO,NO,NO,25.55576571603931,11.320352387291182,0.5157256532607318,4.902152627377869,31.924617606285594,25.78138600974532
L040,26.13,160.74,45.64,876.56,48.84,11.02,0.1369643613643328,NO,NO,0,NO,NO,NO,NO,NO,NO,14.225824986346066,4.520417827866122,1.4442721339938633,6.469014862020097,1.6869292590044898,71.65354093076937
L019,24.99,153.19,40.02,855.5,46.38,11.64,0.13694022379785528,NO,NO,0,NO,NO,NO,NO,NO,NO,28.05650989369,1.742654667560043,33.010657042119114,2.203977054081622,6.431482013349497,28.55471932919973
L004,24.43,148.76,36.26,840.62,44.25,12.22,0.13611769297108486,NO,NO,0,NO,NO,NO,NO,NO,NO,1.0758206490363076,36.91617032371525,27.738952694388804,5.755186651436501,27.16770090754004,1.3461687738830888
L047,24.16,141.07,35.44,830.88,41.69,12.85,0.13344612427117356,NO,NO,0,NO,NO,NO,NO,NO,NO,4.803038362893064,5.573632813935114,2.9829289990864614,10.67064614006561,0.5049691943368316,75.46478448968291
L001,25.45,153.04,43.3,862.53,48.27,11.81,0.1251490133355063,NO,NO,0,NO,NO,NO,NO,NO,NO,2.8480164901612093,16.498078248645697,5.006399134638726,2.1770319845385258,60.74195059022313,12.728523551792717
L014,24.63,147.74,39.25,841.58,44.38,12.51,0.12107422755412893,NO,NO,0,NO,NO,NO,NO,NO,NO,0.14295033580346708,2.279342097069802,6.390211690186339,0.3445248695150511,11.471212503003573,79.37175850442176
L057,25.34,154.04,41.23,857.29,46.86,11.45,0.11259439120424701,NO,NO,0,NO,NO,NO,NO,NO,NO,10.355820370237627,0.7251840581889842,24.753549760393526,16.783107218973914,4.757261328365767,42.62507726384018
L060,26.03,159.33,47.01,875.18,49.14,11.21,0.10680174576603445,NO,NO,0,NO,NO,NO,NO,NO,NO,10.425678380905604,1.81525103149295,58.48257692996162,13.585734041256867,0.43216523412743296,15.258594382255534
L052,25.96,158.17,46.04,879.1,47.85,11.62,0.10677775402975274,NO,NO,0,NO,NO,NO,NO,NO,NO,1.6471228226137222,4.592044975458964,49.6003638141568,9.384458765550034,16.22627410252189,18.54973551969858
L020,24.11,142.57,35.44,830.75,43.72,12.56,0.10568875450209904,NO,NO,0,NO,NO,NO,NO,NO,NO,1.2201354654043803,2.3413976465849307,1.4219255596129485,1.229542094151807,83.03508286547368,10.751916368772239
L025,26.76,164.3,48.58,891.62,52.07,11.33,0.10524543698486351,NO,SI,1,NO,NO,NO,NO,SI,NO,3.179139156684459,1.08312947651027,34.728988835948016,0.37255296855444875,39.66726959171078,20.96891997059204
L016,26.1,158.02,45.72,878.62,47.83,11.13,0.10464177641991901,NO,NO,0,NO,NO,NO,NO,NO,NO,3.3366447969232773,1.681094092957674,13.46162390209675,1.5187212363989264,22.267841363990396,57.73407460763298
L030,24.56,147.8,38.17,830.55,43.8,12.04,0.0937546837268479,NO,NO,0,NO,NO,NO,NO,NO,NO,0.04142119948833197,9.776852095880441,0.04037282020390384,56.253919147045096,2.6875188872094204,31.1999158501728
L017,25.27,150.22,41.79,856.78,45.52,12.19,0.0929770030882352,NO,NO,0,NO,NO,NO,NO,NO,NO,6.699423660723248,6.876687626128238,11.116973485479923,6.508544333972919,1.0158509174398858,67.78251997625578
L024,25.0,147.3,38.9,851.52,44.54,12.33,0.09074512807368364,NO,NO,0,NO,NO,NO,NO,NO,NO,5.90326212062623,6.678037958627192,8.366512391140581,33.97629490440874,0.23100582392628918,44.84488680127098
L002,24.44,143.58,36.44,833.82,42.16,12.66,0.08977081826500877,NO,NO,0,NO,NO,NO,NO,NO,NO,15.922056093699789,1.242475476592128,0.2824101309194138,3.385459666915999,6.318252631972028,72.84934599990065
L011,25.21,150.59,39.84,856.1,45.83,11.64,0.08867881130857967,NO,NO,0,NO,NO,NO,NO,NO,NO,6.188436191206036,4.336389334084937,59.31047942387906,0.1521459083713053,1.5690093883346026,28.44353975412406
L005,25.54,149.92,40.69,854.12,46.22,12.03,0.08862502125640864,NO,NO,0,NO,NO,NO,NO,NO,NO,27.260008908426403,3.3180680869143764,7.455567771864222,1.1768877812367395,25.608930370760906,35.18053708079735
L029,24.67,148.11,37.37,839.85,43.34,11.97,0.08733932040730726,NO,NO,0,NO,NO,NO,NO,NO,NO,0.02878668350304121,6.687638229533977,33.10599583310955,1.089983312503007,10.441611373325719,48.64598456802469
L051,24.0,143.91,36.63,826.63,41.67,12.27,0.07813888682868865,NO,NO,0,NO,NO,NO,NO,NO,NO,12.767351263841531,5.267955658471895,22.16490370341271,5.194905491412232,13.127992281162891,41.47689160169874
L070,25.12,152.0,42.22,857.56,46.31,12.14,0.07362558734206998,NO,NO,0,NO,NO,NO,NO,NO,NO,2.1311913557108655,1.4720302935844434,24.131595591662634,3.4212998897572575,17.595699314692236,51.248183554592565
L064,24.61,143.46,36.56,832.08,43.09,12.5,0.07328789486194924,NO,NO,0,NO,NO,NO,NO,NO,NO,34.87952926235849,17.731277109844722,4.5393060562295435,5.082618723607907,2.0137733821669186,35.75349546579241
L043,23.19,136.52,31.04,799.55,38.86,13.01,0.06659848722333263,NO,SI,1,NO,NO,NO,SI,NO,NO,0.46396349295012496,13.126751151715993,33.661058770079954,47.62288527536466,4.578810992679729,0.5465303172095288
L042,26.18,160.7,46.53,881.03,49.34,11.53,0.06497534433646351,NO,NO,0,NO,NO,NO,NO,NO,NO,2.098299489886062,0.4316510673272835,47.231769343958675,0.006860116159091628,0.07295959121851758,50.15846039145038
L065,25.28,153.13,40.52,854.95,46.0,12.13,0.06294586791745033,NO,NO,0,NO,NO,NO,NO,NO,NO,14.950965122476335,18.635423928280737,6.727783782766249,0.7559770724843318,16.38306421603953,42.54678587795282
L027,24.86,150.22,41.04,841.51,44.36,12.06,0.06073551620693826,NO,NO,0,NO,NO,NO,NO,NO,NO,1.7301313398955591,11.702663129691944,44.68907172536561,37.85172712676439,1.717458447304998,2.3089482309775176
L048,24.1,141.52,34.92,816.38,41.47,12.6,0.05955665501628674,NO,NO,0,NO,NO,NO,NO,NO,NO,12.907534092206985,0.03414262723548834,4.5670686957202005,79.20150340950835,0.920924041350153,2.3688271339788147
L058,25.3,149.37,40.38,854.43,45.66,12.13,0.057277780153887674,NO,NO,0,NO,NO,NO,NO,NO,NO,8.704325378138352,5.678990250218607,5.885685977205283,5.24870211999423,16.292526024155816,58.18977025028771
L055,24.59,144.37,36.06,832.37,43.32,12.24,0.05712304590879066,NO,NO,0,NO,NO,NO,NO,NO,NO,26.949944006031426,7.3462875067132725,40.55538465304256,9.875941896109289,6.76672777024222,8.505714167861228
L069,25.23,150.49,41.24,851.88,46.32,12.02,0.0567264809096176,NO,NO,0,NO,NO,NO,NO,NO,NO,1.0814016400104387,5.917253969454083,0.12532342568911986,8.483737474084446,57.05273082900109,27.339552661760823
L059,24.57,147.82,38.7,836.58,43.78,12.4,0.05162344516526002,NO,NO,0,NO,NO,NO,NO,NO,NO,0.024535297577743274,19.516792849437895,9.098729469387674,8.850026269733618,4.703756021877284,57.806160091985774
L041,25.01,147.85,41.27,852.26,44.92,11.97,0.05101390268222086,NO,NO,0,NO,NO,NO,NO,NO,NO,5.412937063141014,77.71621846179399,13.614229570592835,0.7480668276689563,1.8171163515625877,0.6914317252406124
L028,24.16,144.7,36.09,835.25,41.59,12.41,0.0500905177060052,NO,NO,0,NO,NO,NO,NO,NO,NO,1.2194602273313158,18.163557409144758,0.8728162178765982,35.536490370974064,43.44871763619636,0.7589581384768912
L036,25.24,152.07,40.88,851.53,46.45,11.82,0.046393490794140894,NO,NO,0,NO,NO,NO,NO,NO,NO,0.7715354571750713,0.02982451453364131,15.66432417320839,41.59121928249675,40.47446755647612,1.4686290161100342
L013,25.28,152.24,40.7,853.11,45.31,12.14,0.046292309482475306,NO,NO,0,NO,NO,NO,NO,NO,NO,28.016873015862235,12.407321698338079,1.233393784964777,0.002759062260687965,0.010796948230012208,58.32885549034421
L061,24.33,147.52,38.01,834.88,43.76,12.26,0.04470911686134637,NO,NO,0,NO,NO,NO,NO,NO,NO,19.709255265330793,42.46999264276612,6.282626250207989,6.123171006533602,25.016684235179575,0.39827059998191217
L031,24.06,142.42,36.16,832.6,42.41,12.29,0.04008555246661433,NO,NO,0,NO,NO,NO,NO,NO,NO,16.801128045395963,13.696491144519614,4.311503430685985,13.074451927501274,1.4345338114526622,50.681891640444505
L044,25.18,151.43,39.83,852.24,45.64,12.04,0.03612533263617942,NO,NO,0,NO,NO,NO,NO,NO,NO,6.1989876348076995,4.903469826456125,51.35461594593424,0.4388479726812292,19.83463342225099,17.269445197869707
L012,25.56,156.19,42.2,861.19,46.75,11.9,0.03537916557632221,NO,NO,0,NO,NO,NO,NO,NO,NO,23.959957141469868,37.083072605256454,0.26152764403613343,2.693093320437651,0.37877972839337465,35.623569560406516
L008,25.01,150.19,39.79,847.68,45.03,11.88,0.034744512830036246,NO,NO,0,NO,NO,NO,NO,NO,NO,0.7407052115156235,0.37592476225945987,18.71328749151544,11.805061668148356,1.5054555075983178,66.8595653589628
L049,24.32,145.55,38.28,839.88,43.41,12.36,0.03465213187149383,NO,NO,0,NO,NO,NO,NO,NO,NO,22.44505784201426,0.054271543019128385,31.37490840421607,24.136399259582046,6.742471291271597,15.246891659896896
L007,24.4,145.5,36.96,832.64,41.98,12.33,0.0334681876003225,NO,NO,0,NO,NO,NO,NO,NO,NO,5.699938643037737,14.097933018199628,1.8279840351589336,1.658386265789919,75.3852370249817,1.3305210128320721
L021,25.28,152.87,42.42,858.7,46.84,11.68,0.033191257663088496,NO,NO,0,NO,NO,NO,NO,NO,NO,33.875494958937175,19.562941893621552,1.194411895238573,18.946990720428953,15.564286890932744,10.855873640841002
L009,25.16,154.11,41.93,856.68,46.56,11.75,0.03155628785895307,NO,NO,0,NO,NO,NO,NO,NO,NO,51.53710698588828,2.2351194613060845,0.014664033011936715,25.64024584749499,6.426881955529928,14.14598171676877
L033,25.52,153.3,41.65,857.29,46.63,11.66,0.028257778039805437,NO,NO,0,NO,NO,NO,NO,NO,NO,2.4141489500445483,0.6408002639326627,34.23723137626014,52.49516956276409,6.952583747327879,3.2600660996706785
L068,25.97,158.38,43.69,871.03,48.32,11.34,0.027911842534749515,NO,NO,0,NO,NO,NO,NO,NO,NO,3.8142689874511557,11.436063970481584,31.022707459635264,29.74933485347969,2.246155389592232,21.73146933936005
L023,25.86,156.56,43.22,866.85,47.15,11.51,0.018072284853838157,NO,NO,0,NO,NO,NO,NO,NO,NO,34.229406053220806,6.484980469657219,9.529884083357343,23.576997999478483,24.23105893712908,1.94767245715705
L010,24.73,147.15,37.87,841.23,43.69,12.19,0.012451128969284077,NO,NO,0,NO,NO,NO,NO,NO,NO,34.39987757207479,1.484443018344314,60.45407952178237,2.9827801428145184,0.6164877716452738,0.06233197333874081
L035,25.05,151.05,39.99,850.22,45.01,11.97,0.010141847797892229,NO,NO,0,NO,NO,NO,NO,NO,NO,0.004001935879688175,16.34105058947927,63.40635275248172,7.255613180125754,0.36781082330373066,12.625170718729837
