ID_Valvula,Diametro_mm,Peso_g,Presion_bar,Temperatura_C,Dureza_HRC,Tiempo_ciclo_s
V0113,24.83,149.19,39.63,837.87,45.49,12.43
V0114,23.31,133.74,32.45,816.02,39.79,13.01
V0115,24.98,146.57,40.09,838.55,43.7,12.56
V0116,25.63,155.61,45.05,861.98,46.29,11.72
V0117,24.73,145.91,37.55,844.73,42.9,12.5
V0118,24.72,149.0,38.2,841.5,42.97,11.68
V0119,25.34,151.6,41.32,857.02,44.43,12.0
V0120,25.53,153.11,42.88,863.88,46.07,11.16
V0121,24.77,147.68,40.23,853.23,45.45,12.38
V0122,24.85,148.77,38.69,846.98,45.17,12.89
V0123,25.4,152.94,41.95,857.81,47.22,11.68
V0124,25.21,149.42,40.68,843.07,45.23,12.37
V0125,24.98,147.6,41.57,843.65,44.06,12.35
V0126,24.82,151.23,42.01,861.13,44.64,11.84
V0127,24.86,152.36,38.96,848.54,45.67,11.84
V0128,24.97,150.51,40.87,851.47,45.31,12.09
V0129,26.3,159.28,44.54,885.96,48.87,11.45
V0130,24.91,146.82,39.44,847.71,44.78,12.14
V0131,24.61,148.91,38.24,839.82,43.25,12.12
V0132,26.07,157.51,45.32,872.62,48.42,11.47
V0133,24.52,147.44,38.97,839.63,42.62,11.94
V0134,26.11,159.16,46.54,877.8,47.5,11.02
V0135,25.0,148.17,39.73,847.52,45.2,12.03
V0136,25.02,150.62,40.78,852.22,45.34,12.08
V0137,25.6,152.48,43.18,856.24,46.58,11.35
V0138,25.67,156.63,44.2,871.47,46.25,11.41
V0139,25.59,156.42,42.39,867.14,47.45,11.22
V0140,24.89,152.08,38.69,849.48,45.39,12.3
V0141,24.89,147.11,39.35,847.13,44.04,12.43
V0142,25.42,153.22,39.76,855.15,45.41,11.73
V0143,24.97,151.73,41.77,850.9,46.31,11.93
V0144,24.41,145.39,37.36,827.77,43.23,12.29
V0145,25.35,152.35,42.24,856.76,44.54,11.8
V0146,25.28,156.61,42.85,853.07,47.29,11.86
V0147,25.11,150.08,39.3,854.0,44.85,12.49
V0148,26.02,158.35,44.92,876.36,48.56,11.83
V0149,24.98,151.86,41.0,858.89,45.4,12.12
V0150,24.78,149.64,38.49,846.93,44.52,12.6
V0151,25.01,149.63,41.18,854.95,44.94,11.59
V0152,24.65,147.31,38.42,847.08,43.44,12.27
V0153,24.38,145.42,36.87,833.56,42.96,11.81
V0154,25.35,151.74,42.83,856.74,46.81,12.38
V0155,24.59,144.74,36.26,842.33,42.67,12.48
V0156,24.55,148.13,40.18,845.44,44.51,12.08
V0157,25.13,148.95,40.32,858.19,44.46,11.89
V0158,25.19,151.97,41.49,854.81,45.68,11.71
V0159,25.21,151.4,39.35,858.37,46.41,11.78
V0160,25.2,151.35,40.58,847.37,45.11,11.51
V0161,23.76,140.67,33.95,822.22,42.09,12.43
V0162,24.74,147.28,40.69,845.04,43.68,11.91
V0163,24.25,147.87,37.62,831.9,42.37,11.98
V0164,25.12,148.44,38.52,840.67,44.58,11.87
V0165,25.33,154.55,42.54,866.41,47.11,11.62
V0166,25.29,155.41,42.05,858.75,47.21,11.83
V0167,24.81,150.15,40.96,852.87,45.01,12.18
V0168,25.24,155.0,41.28,857.31,45.96,11.73
V0169,23.83,139.77,36.44,825.93,41.43,11.85
V0170,25.29,147.51,41.2,859.69,45.94,11.88
V0171,25.27,153.39,41.42,858.45,46.79,11.58
V0172,24.4,144.75,39.43,837.07,43.73,12.21
V0173,25.3,152.12,41.44,852.11,45.74,11.44
V0174,24.61,147.08,38.06,847.65,44.19,11.87
V0175,25.58,154.64,42.54,863.33,46.37,11.44
V0176,25.8,155.89,44.45,871.55,46.24,11.76
V0177,24.56,147.45,39.45,844.1,44.4,11.91
V0178,25.82,157.01,45.12,870.03,48.17,11.31
V0179,24.77,148.48,38.67,848.91,44.8,11.95
V0180,26.19,160.05,45.59,883.12,48.7,11.46
V0181,25.16,146.72,38.15,839.31,43.31,11.91
V0182,24.72,151.73,41.46,851.94,45.57,11.51
V0183,25.26,149.79,40.64,854.64,45.56,11.63
V0184,24.56,146.58,38.3,839.1,43.32,12.2
V0185,23.86,141.77,33.59,826.6,42.24,12.58
V0186,24.67,143.87,35.73,837.48,44.36,12.66
V0187,25.84,155.78,43.18,872.57,48.1,11.29
V0188,24.67,149.72,39.44,855.31,44.03,11.85
V0189,24.79,148.1,39.15,843.54,44.65,12.33
V0190,25.82,158.39,44.87,865.17,48.56,11.29
V0191,25.36,152.39,41.33,859.0,45.11,11.94
V0192,25.45,153.71,42.28,862.42,47.93,11.99
V0193,25.51,155.27,42.9,863.44,46.33,11.67
V0194,24.52,145.26,37.0,831.44,43.68,12.46
V0195,25.15,151.3,39.35,853.44,45.65,12.44
V0196,25.31,148.89,40.22,855.76,46.0,12.15
V0197,24.78,149.33,40.55,844.4,44.58,12.23
V0198,24.33,142.41,34.83,841.04,42.24,12.73
V0199,25.65,151.82,40.88,853.72,45.93,12.24
V0200,23.91,140.89,35.02,828.35,41.79,12.95
V0201,24.62,145.81,36.04,835.49,42.44,12.12
V0202,24.37,145.45,38.85,832.16,44.14,12.16
V0203,24.86,150.17,38.62,843.95,42.9,11.93
V0204,25.48,153.73,42.78,862.28,47.03,11.64
V0205,26.06,157.01,44.34,885.62,48.98,11.11
V0206,25.99,156.11,44.68,880.35,48.11,11.15
V0207,25.68,154.0,42.32,869.9,45.6,11.69
V0208,25.26,151.8,40.94,862.79,45.78,11.37
V0209,23.57,139.24,32.55,815.32,40.21,12.5
V0210,25.75,156.7,42.65,864.67,46.99,11.3
V0211,26.47,164.07,48.36,896.87,49.51,11.47
V0212,24.92,151.16,40.17,852.56,47.65,12.18
V0213,24.92,149.68,41.64,853.87,45.38,12.06
V0214,25.31,152.99,42.39,858.31,46.03,11.99
V0215,25.7,152.55,42.0,863.95,46.11,12.19
V0216,25.42,150.84,40.88,860.2,45.58,12.19
V0217,24.57,147.77,37.81,843.75,44.29,12.25
V0218,25.24,152.67,40.94,851.48,44.89,11.43
V0219,24.08,142.51,35.0,833.81,41.95,11.9
V0220,23.91,138.36,34.29,815.64,41.45,12.55
V0221,25.62,157.63,43.56,872.0,47.42,11.88
V0222,24.78,150.8,37.69,840.9,44.56,12.18
V0223,25.31,154.35,41.3,863.0,46.62,11.84
V0224,25.75,155.9,44.89,875.3,48.68,11.16
V0225,25.63,154.32,43.04,864.49,47.9,11.43
V0226,24.37,149.16,37.34,849.43,44.16,12.59
V0227,25.3,151.46,41.05,860.66,46.58,11.79
V0228,24.17,144.16,36.79,829.11,41.82,12.26
V0229,25.16,148.79,39.56,844.11,43.84,11.76
V0230,25.75,156.42,42.07,864.28,46.57,12.17
V0231,25.21,150.41,40.98,845.43,44.83,11.71
V0232,23.23,134.3,31.38,803.15,39.15,13.08
V0233,23.85,138.14,34.36,820.63,39.38,12.24
V0234,24.72,145.64,37.49,838.29,44.18,11.65
V0235,25.74,156.1,44.72,873.2,47.65,11.64
V0236,25.13,151.89,39.25,861.77,45.49,11.8
V0237,25.31,149.66,40.11,851.84,44.58,12.28
V0238,24.24,142.9,35.67,828.29,42.18,12.59
V0239,24.98,152.7,41.83,852.24,45.02,12.32
V0240,23.8,140.71,32.7,820.19,40.58,12.66
V0241,25.39,153.99,40.01,856.24,46.3,11.85
V0242,25.58,156.4,43.09,860.45,47.37,11.6
V0243,24.58,146.92,36.92,835.21,42.86,12.92
V0244,25.66,154.46,43.21,860.57,47.34,11.53
V0245,24.74,145.56,37.02,835.12,43.62,12.59
V0246,24.98,148.95,39.66,846.23,44.73,11.42
V0247,25.12,149.92,40.17,850.16,44.7,11.4
V0248,25.2,151.33,38.45,854.85,44.11,11.96
V0249,25.86,158.35,45.13,872.42,48.04,11.27
V0250,25.45,154.01,43.39,859.12,44.98,11.07
V0251,24.42,146.16,38.71,840.44,43.35,12.76
V0252,23.56,137.32,30.36,808.72,39.91,13.19
V0253,25.39,153.27,41.48,859.74,46.42,12.06
V0254,25.43,154.07,42.16,858.22,46.61,11.83
V0255,25.39,152.31,40.52,852.11,45.43,12.2
V0256,24.79,147.85,37.05,840.65,43.71,11.93
V0257,26.01,158.49,45.66,871.65,47.43,11.61
V0258,23.97,141.69,35.97,823.25,40.65,12.64
V0259,24.5,146.65,37.12,838.66,42.91,12.66
V0260,23.91,142.51,35.3,830.64,42.28,12.65
V0261,25.31,149.85,42.53,860.26,46.31,11.67
V0262,24.55,145.43,38.84,841.67,43.44,11.9
V0263,26.59,160.89,46.56,883.44,48.79,11.87
V0264,24.77,149.81,40.19,853.17,44.78,11.75
V0265,24.82,150.99,37.66,839.63,45.34,11.79
V0266,25.35,153.04,40.88,858.69,45.74,11.91
V0267,24.47,148.94,38.84,837.81,44.12,11.74
V0268,24.36,143.59,35.81,834.88,42.57,11.88
V0269,25.43,154.42,42.47,866.12,45.84,12.06
V0270,24.93,148.17,39.03,841.68,43.68,12.32
V0271,25.61,156.53,42.2,867.81,46.81,11.84
V0272,25.2,150.68,41.6,859.06,44.99,12.61
V0273,25.13,149.67,40.76,854.07,45.13,12.2
V0274,25.05,149.73,41.73,853.39,44.54,12.32
V0275,24.84,151.41,39.86,844.26,44.76,11.69
V0276,25.25,152.68,41.34,855.71,44.64,11.79
V0277,24.96,149.56,37.91,844.26,43.78,11.83
V0278,23.85,138.94,35.67,820.07,40.87,12.67
V0279,25.05,152.42,38.46,848.43,44.83,12.11
V0280,24.71,149.24,38.71,845.78,42.93,12.01
V0281,24.27,142.41,36.16,829.3,42.31,12.4
V0282,25.54,153.05,42.69,856.37,45.6,11.97
V0283,24.85,148.06,39.22,841.93,45.43,12.22
V0284,23.91,141.97,34.7,818.11,42.28,12.73
V0285,24.61,149.43,41.08,843.08,45.92,11.99
V0286,24.51,147.4,38.89,842.7,43.61,11.99
V0287,23.98,140.1,35.69,826.37,40.4,12.21
V0288,25.05,153.17,42.89,861.24,46.69,11.64
V0289,24.48,146.19,36.29,829.33,43.0,12.5
V0290,25.3,154.67,41.98,862.93,47.51,11.93
V0291,24.13,144.29,37.45,838.6,43.93,12.19
V0292,25.71,156.06,41.85,866.97,47.15,11.74
V0293,25.22,150.81,42.24,859.19,45.22,11.41
V0294,25.07,152.22,39.99,853.92,44.67,12.0
V0295,24.28,144.72,37.82,838.93,43.34,12.32
V0296,25.49,154.29,43.03,860.6,46.84,11.44
V0297,25.28,153.53,41.5,861.65,45.92,11.99
V0298,24.8,146.94,38.13,834.59,44.44,11.8
V0299,25.49,150.62,42.0,854.76,47.02,12.0
V0300,24.29,144.25,36.01,835.04,44.05,12.33
V0301,24.2,143.03,36.18,826.7,41.44,12.65
V0302,25.2,148.97,39.38,849.63,45.09,12.29
V0303,25.02,150.5,40.68,847.32,45.73,12.42
V0304,25.48,152.04,41.71,862.03,45.94,11.75
V0305,24.78,150.38,39.96,848.78,45.44,12.24
V0306,25.72,155.15,44.22,865.39,47.08,11.54
V0307,24.41,142.99,36.68,829.1,42.47,12.41
V0308,25.45,153.33,42.23,860.07,46.05,11.8
V0309,25.37,149.98,39.52,850.75,45.03,11.67
V0310,25.76,155.38,42.01,865.45,47.41,11.65
V0311,25.1,150.54,40.31,850.26,45.51,12.33
V0312,24.84,154.25,39.14,850.09,45.43,11.82
V0313,25.85,161.4,45.53,875.32,48.48,11.8
V0314,25.56,151.12,41.17,860.96,46.47,10.98
V0315,25.27,152.47,42.16,856.23,45.94,12.31
V0316,24.9,147.84,37.88,846.59,43.56,11.77
V0317,25.04,150.5,38.78,856.09,44.52,12.1
V0318,24.09,141.64,33.43,817.79,41.8,12.93
V0319,24.37,145.01,37.62,844.59,43.07,11.82
V0320,25.23,152.95,40.28,859.97,45.55,11.92
V0321,24.1,139.67,35.13,824.36,41.1,12.94
V0322,25.14,148.48,40.44,845.85,45.43,12.01
V0323,25.01,148.71,41.19,841.9,45.34,11.96
V0324,25.36,151.9,42.25,863.1,44.79,11.9
V0325,24.12,142.25,36.08,825.5,41.94,12.59
V0326,23.96,142.64,32.95,824.37,39.81,12.78
V0327,25.62,154.7,42.96,869.22,46.85,11.84
V0328,24.96,151.7,40.96,847.06,45.74,11.78
V0329,25.25,151.95,40.82,855.67,45.18,11.75
V0330,26.02,157.61,44.95,874.5,48.78,11.79
V0331,24.91,151.66,39.43,852.6,45.42,12.39
V0332,23.49,139.98,34.5,820.04,42.2,12.57
V0333,24.88,147.49,39.08,848.21,45.33,12.01
V0334,25.68,153.19,41.57,858.75,46.87,11.9
V0335,24.77,146.68,39.76,839.53,44.01,12.43
V0336,24.78,147.17,38.15,843.5,45.17,12.15
V0337,24.67,147.51,38.65,842.06,44.02,12.23
V0338,25.91,157.56,45.31,869.41,48.4,11.84
V0339,25.6,154.86,43.7,867.65,47.8,11.78
V0340,23.96,139.14,34.5,826.33,41.55,12.88
V0341,26.32,160.64,46.55,881.04,48.16,11.47
V0342,24.6,145.87,38.78,836.33,44.01,12.18
V0343,26.2,159.95,46.01,869.32,48.69,11.32
V0344,24.33,143.21,35.53,825.29,43.24,12.04
V0345,25.75,155.32,42.37,866.13,46.89,11.84
V0346,24.51,146.05,37.74,843.5,43.94,12.02
V0347,25.1,150.58,40.78,843.84,45.61,12.51
V0348,25.66,155.68,41.18,865.08,47.02,11.47
V0349,24.61,146.45,37.2,837.09,43.03,12.23
V0350,25.26,148.44,39.79,856.42,46.22,11.67
V0351,25.22,151.56,40.12,849.41,45.58,11.9
V0352,25.61,155.99,43.63,866.87,47.82,11.34
V0353,25.92,157.56,44.01,869.6,47.48,11.28
V0354,26.14,159.96,45.27,879.85,48.94,11.4
V0355,25.35,152.96,40.95,851.61,46.55,12.09
V0356,25.17,151.79,41.37,856.82,45.82,12.36
V0357,24.55,144.31,37.0,836.65,45.22,12.61
V0358,24.41,148.33,37.78,836.72,44.26,11.86
V0359,24.37,145.73,35.38,820.51,42.73,12.3
V0360,24.86,149.55,38.76,843.82,44.61,12.68
V0361,25.01,148.86,39.97,847.88,44.98,11.8
V0362,24.82,151.11,39.0,852.11,45.45,11.91
V0363,25.73,152.8,40.2,855.62,46.17,11.67
V0364,24.2,141.75,35.79,830.97,42.5,12.58
V0365,25.95,159.53,45.53,877.11,49.18,11.78
V0366,25.12,154.7,40.49,853.12,45.36,11.96
V0367,25.83,155.65,42.14,867.21,47.53,11.47
V0368,25.17,151.71,41.29,863.74,44.48,12.16
V0369,24.31,144.31,38.33,835.16,44.02,12.32
V0370,24.79,147.87,38.91,840.22,43.59,11.71
V0371,23.27,135.75,31.48,798.08,38.35,12.72
V0372,25.32,150.72,40.36,854.28,45.62,12.32
V0373,25.16,149.0,39.98,850.88,45.08,12.45
V0374,25.63,155.45,43.51,867.59,47.7,11.63
V0375,23.73,141.61,35.34,823.3,41.81,12.77
V0376,24.9,148.3,40.12,848.24,46.09,12.31
V0377,24.76,149.04,39.81,835.5,45.19,11.99
V0378,24.24,142.71,36.33,833.13,42.89,12.3
V0379,24.26,143.45,36.32,828.53,40.94,12.58
V0380,24.21,146.19,37.21,834.09,42.33,12.57
V0381,25.48,154.3,42.78,868.61,47.95,11.42
V0382,25.43,155.34,42.6,867.51,45.71,11.63
V0383,24.25,143.84,34.14,832.72,41.81,12.66
V0384,24.96,150.0,40.4,847.56,44.25,12.51
V0385,25.42,153.01,41.64,855.0,47.2,11.79
V0386,25.0,153.21,40.25,857.21,45.34,11.69
V0387,24.02,139.49,35.89,821.07,42.02,12.31
V0388,24.83,146.82,39.58,845.79,43.39,12.06
V0389,24.2,141.69,36.16,827.13,41.18,12.4
V0390,25.79,155.57,43.62,866.8,47.05,11.3
V0391,26.7,164.63,48.66,886.21,49.71,11.46
V0392,25.08,150.08,40.21,849.35,44.31,11.38
V0393,23.62,138.62,34.46,821.1,40.6,12.15
V0394,25.47,154.84,42.0,858.28,46.18,11.57
V0395,25.98,160.65,44.53,868.06,47.87,11.71
V0396,26.24,157.15,43.22,871.46,47.36,11.32
V0397,25.21,150.66,40.24,848.55,45.1,12.06
V0398,25.3,153.23,41.44,863.55,46.14,11.86
V0399,25.08,150.36,39.93,850.42,44.93,11.46
V0400,25.5,154.79,41.93,860.36,46.94,12.16
V0401,25.54,153.34,41.46,863.86,46.73,11.67
V0402,24.66,145.6,37.69,835.01,44.15,12.25
V0403,24.81,144.19,39.05,837.41,43.94,11.75
V0404,25.16,148.41,39.69,853.3,43.82,12.07
V0405,25.09,149.14,39.24,853.76,45.29,12.33
V0406,25.16,150.1,41.16,851.06,45.5,11.87
V0407,25.58,154.57,43.18,866.77,48.11,11.4
V0408,24.04,143.81,36.57,832.81,43.31,12.38
V0409,25.7,157.86,43.1,861.91,46.52,11.72
V0410,25.07,147.48,39.33,842.87,45.0,12.33
V0411,23.51,136.24,29.95,807.11,38.86,13.2
V0412,24.81,147.77,37.08,845.82,43.86,12.47
V0413,24.84,145.61,39.63,850.92,43.96,12.1
V0414,25.32,153.83,40.85,864.26,47.19,12.37
V0415,25.48,153.11,42.35,859.95,47.09,11.23
V0416,24.69,149.09,41.58,852.53,45.88,12.2
V0417,24.25,145.8,38.18,838.16,42.61,12.15
V0418,25.2,154.02,42.68,870.31,47.27,11.19
V0419,24.53,148.27,38.75,835.83,43.44,11.92
V0420,24.27,143.05,37.7,836.96,42.25,12.43
V0421,24.8,144.83,38.05,835.5,43.65,12.27
V0422,24.68,147.25,39.36,843.4,44.06,12.04
V0423,25.01,148.59,39.87,852.12,44.85,12.11
V0424,24.71,149.87,39.04,843.26,43.49,11.97
V0425,24.71,147.94,38.06,843.41,44.09,12.31
V0426,25.28,155.3,42.03,864.37,46.93,11.87
V0427,25.52,153.84,41.76,861.91,47.51,11.43
V0428,25.32,150.92,41.36,854.53,46.4,11.9
V0429,24.66,151.28,38.52,841.61,44.09,12.34
V0430,24.52,145.89,38.6,837.09,44.78,11.99
V0431,24.7,148.27,38.45,848.32,45.08,11.65
V0432,24.78,150.84,38.99,843.34,44.58,11.91
V0433,25.69,155.73,42.75,864.96,45.9,11.94
V0434,24.89,149.32,38.88,842.28,43.28,11.95
V0435,24.36,144.61,35.89,833.0,43.6,12.57
V0436,24.36,148.21,38.45,834.94,43.92,11.78
V0437,25.97,160.87,45.05,873.67,48.36,11.18
V0438,24.62,146.52,38.33,836.17,43.37,12.41
V0439,24.14,143.96,35.38,828.79,41.83,12.46
V0440,24.73,145.94,36.81,847.37,45.11,12.01
V0441,26.16,159.31,45.33,873.88,47.99,11.28
V0442,25.23,149.97,40.38,843.84,44.62,12.24
V0443,25.36,153.71,42.09,846.41,46.36,11.84
V0444,24.09,142.02,34.48,820.5,41.37,12.95
V0445,24.01,142.29,35.64,830.76,41.97,12.45
V0446,25.05,149.68,39.13,850.31,45.69,12.01
V0447,24.8,148.5,38.93,838.76,44.22,11.99
V0448,25.2,151.62,41.95,854.06,46.51,12.22
V0449,24.3,145.38,36.88,837.34,42.16,11.93
V0450,25.75,157.02,42.54,860.6,47.07,11.92
V0451,26.11,157.07,44.31,872.24,48.22,11.48
V0452,23.82,143.3,36.52,829.75,42.11,12.11
V0453,25.15,152.16,41.44,847.79,45.57,11.99
V0454,24.6,149.56,38.7,844.71,44.24,11.82
V0455,25.88,155.48,43.29,865.01,47.74,11.97
V0456,25.09,150.31,40.7,856.6,45.19,11.76
V0457,25.88,155.35,43.53,862.09,47.31,11.38
V0458,25.04,150.27,39.98,843.51,44.18,11.65
V0459,25.03,151.83,40.31,854.9,45.6,12.38
V0460,26.51,157.82,45.71,881.38,49.52,11.43
V0461,26.01,159.28,46.78,882.37,49.03,11.24
V0462,24.09,139.2,34.83,818.8,42.03,12.72
V0463,25.5,154.0,40.17,863.08,45.38,11.87
V0464,25.21,149.38,40.1,854.99,46.03,11.92
V0465,24.47,144.83,37.2,830.26,43.68,12.62
V0466,24.62,147.19,38.02,844.27,43.1,12.45
V0467,25.09,149.9,40.17,853.1,44.99,11.46
V0468,25.62,153.27,43.26,861.04,45.99,11.73
V0469,25.09,152.46,41.31,856.37,46.22,12.11
V0470,24.84,145.28,37.79,845.46,45.44,12.22
V0471,24.26,144.58,37.54,836.07,42.69,12.37
V0472,23.88,138.75,33.49,820.73,40.79,12.0
V0473,25.88,158.18,44.26,874.32,47.0,11.86
V0474,24.66,144.79,39.82,844.82,43.45,11.96
V0475,24.46,146.48,38.39,836.68,43.82,12.27
V0476,25.09,152.88,41.27,853.89,46.34,12.16
V0477,25.03,148.53,38.63,848.32,45.38,12.35
V0478,24.96,150.37,40.62,854.17,45.71,11.77
V0479,25.24,153.23,41.96,860.82,46.18,11.94
V0480,24.64,149.48,38.09,835.97,43.77,12.02
V0481,24.34,145.63,35.35,829.62,44.03,12.3
V0482,24.98,149.2,41.01,843.82,44.25,12.07
V0483,25.07,148.27,39.13,851.27,45.08,12.31
V0484,24.28,142.95,37.87,840.02,42.77,12.2
V0485,24.38,143.92,36.78,827.01,42.56,12.82
V0486,24.71,143.76,36.02,827.57,42.77,12.43
V0487,25.45,153.29,42.92,855.8,46.5,11.06
V0488,25.41,158.29,43.49,870.25,47.95,11.58
V0489,25.59,156.6,43.12,866.52,47.45,11.11
V0490,24.36,146.66,37.14,839.34,43.83,12.38
V0491,24.76,146.56,37.63,832.15,43.45,12.22
V0492,24.42,143.47,35.41,832.18,42.36,12.39
V0493,26.03,158.37,45.56,874.96,48.83,12.12
V0494,24.74,146.15,38.94,846.93,43.12,12.03
V0495,24.96,150.0,40.69,849.53,44.52,12.15
